Title,Url,Length,Viewed,Bookmark,Tags,AddDate
"Alan Watts - Why the Urge to Improve Yourself? - YouTube",https://www.youtube.com/watch?v=vlNVQ-_y4-0,long,0,,Watts,1467328294
"Alan Watts - Success is the Biggest Failure - YouTube",https://www.youtube.com/watch?v=iZttVBuS2_c,long,1,,Watts,1467328294
"Alan Watts - How to Spend (a life) Time - YouTube",https://www.youtube.com/watch?v=NWnVpUpehRI,long,1,,Watts,1467328294
"Orientation to Zen 01 - Zazen (Zen Meditation) - YouTube",https://www.youtube.com/watch?v=1_djWyC1-_4,long,0,,Zen,1467328294
"Intro to Marxian Economics",https://www.youtube.com/watch?v=YzYG5LAgb3Y,long,1,,Wolff,1467328294
"Intro to Marxian Economics",https://www.youtube.com/watch?v=iFHVWBKrgZY,long,0,,Wolff,1467328294
"Intro to Marxian Economics",https://www.youtube.com/watch?v=bX2oC3SlrBo,long,1,,Wolff,1467328294
"Workplace Democracy (with Wolff, Chomsky & Alperovitz) - YouTube",https://www.youtube.com/watch?v=Pmt1M7s2t18,long,0,,"Chomsky,Wolff",1467328294
"Economist Richard Wolff Destroys Bill O'Reilly - YouTube",https://www.youtube.com/watch?v=Xr3LPFh8CsM,short,0,,Wolff,1467328294
"Marxism 101: How Capitalism is Killing Itself with Dr. Richard Wolff // Empire_File022 - YouTube",https://www.youtube.com/watch?v=6P97r9Ci5Kg,long,0,,Wolff,1467328294
"Intro to Marxian Economics",https://www.youtube.com/watch?v=dX-YbKZ6yMA,long,1,,Wolff,1467328294
"Intro to Marxian Economics",https://www.youtube.com/watch?v=LvmFeRGVnSk,long,1,,Wolff,1467328294
"Intro to Marxian Economics",https://www.youtube.com/watch?v=hfjSyOJHg7Q,long,1,,Wolff,1467328294
"Alan Watts - Spiritual Attainment is the Ultimate Hoax - YouTube",https://www.youtube.com/watch?v=B9Gz5QCToWc,long,1,,Watts,1467328294
"Intro to Marxian Economics",https://www.youtube.com/watch?v=PJ1Em1Tyho0,long,1,,Wolff,1467328294
"Intro to Marxian Economics",https://www.youtube.com/watch?v=skE1bXxgKkk,long,1,,Wolff,1467328294
"Intro to Marxian Economics",https://www.youtube.com/watch?v=ucjdhq1vIto,long,1,,Wolff,1467328294
"Alan Watts ~ Meditation ~ The Key To Freedom - YouTube",https://www.youtube.com/watch?v=0TIRmOJ2zMI,long,0,,Watts,1467328294
